iter	Logloss
0	0.6699741739
1	0.6483835297
2	0.6282711119
3	0.6107482856
4	0.5941835519
5	0.5776755552
6	0.5628535976
7	0.5506593759
8	0.5380664866
9	0.5276366979
10	0.5172615569
11	0.5078622715
12	0.4982794724
13	0.4904845539
14	0.4829318077
15	0.4762174529
16	0.4699030796
17	0.4626275796
18	0.4567426558
19	0.4504967962
20	0.4449977677
21	0.4401909543
22	0.4355514296
23	0.4307401803
24	0.4259682973
25	0.4217865615
26	0.4176732457
27	0.4140396411
28	0.4115995657
29	0.409059833
30	0.4068437344
31	0.4033252705
32	0.4009357873
33	0.398053564
34	0.3967618682
35	0.3946762516
36	0.3934969546
37	0.3914991493
38	0.3902791228
39	0.389169893
40	0.3873481213
41	0.3859079817
42	0.3839051167
43	0.382981477
44	0.3806482928
45	0.3794988584
46	0.3780052218
47	0.3769121106
48	0.3755881668
49	0.3738448534
50	0.3723684031
51	0.3716846403
52	0.3701795382
53	0.3696843556
54	0.3684987714
55	0.3678463469
56	0.3664862118
57	0.364761671
58	0.3636107688
59	0.3627043461
60	0.3613983318
61	0.3608215339
62	0.360349011
63	0.3595063453
64	0.3591955135
65	0.3587234219
66	0.3583711746
67	0.3578992013
68	0.3574973544
69	0.3565257153
70	0.3555485497
71	0.354784326
72	0.3543342212
73	0.3539766985
74	0.3534506073
75	0.3528953827
76	0.3518939025
77	0.3513512038
78	0.3504590213
79	0.3497388959
80	0.3491116062
81	0.3485839016
82	0.3480946482
83	0.3477509473
84	0.3475085795
85	0.3472213652
86	0.3465979934
87	0.3460143533
88	0.3456002581
89	0.3448674852
90	0.3446793495
91	0.3443354062
92	0.3439672098
93	0.3436881624
94	0.3429861294
95	0.3424684244
96	0.3415293358
97	0.3411106567
98	0.3406043403
99	0.3401462049
100	0.3398418733
101	0.339102393
102	0.3387200397
103	0.3384007173
104	0.3381338956
105	0.337956489
106	0.3377468631
107	0.3371637201
108	0.3370190692
109	0.3368536267
110	0.3366230392
111	0.3362410956
112	0.3359368722
113	0.3355528501
114	0.3351957171
115	0.334921589
116	0.3347748561
117	0.3344626037
118	0.3341258316
119	0.3339395401
120	0.3337436992
121	0.333292359
122	0.3329473167
123	0.3325926649
124	0.3323452796
125	0.3321450148
126	0.331756798
127	0.3315756129
128	0.3314255645
129	0.3310140172
130	0.3309105595
131	0.330381025
132	0.3302964343
133	0.3300257602
134	0.3297306229
135	0.3294522942
136	0.3289619799
137	0.3286851957
138	0.3284351495
139	0.3282548477
140	0.3277782387
141	0.3275620241
142	0.3272742593
143	0.3270711751
144	0.3267298278
145	0.3267123985
146	0.3264287953
147	0.3263120355
148	0.3261609212
149	0.3259165662
150	0.3257231754
151	0.3254908973
152	0.3254612697
153	0.3253328087
154	0.3251650801
155	0.3249736167
156	0.3248040624
157	0.3244915735
158	0.3243933006
159	0.3242726926
160	0.3241020824
161	0.3237801203
162	0.3236977211
163	0.3233453937
164	0.3230646598
165	0.3229162414
166	0.3227222604
167	0.3223354942
168	0.3220763151
169	0.3218191184
170	0.3216349903
171	0.3215498416
172	0.3212059213
173	0.3209887891
174	0.3207272733
175	0.3205596784
176	0.3203745916
177	0.3199564874
178	0.3198918325
179	0.3197690672
180	0.3194961051
181	0.3193627627
182	0.3191579889
183	0.3188880009
184	0.3188755441
185	0.3186811934
186	0.3185036769
187	0.318291182
188	0.3181265337
189	0.3179887638
190	0.3177645033
191	0.3175884699
192	0.3170283977
193	0.3169447865
194	0.3168196832
195	0.3167263817
196	0.3165469864
197	0.3162632967
198	0.3162013441
199	0.3160222903
200	0.3158760717
201	0.3156557902
202	0.315522368
203	0.3151398327
204	0.3149474077
205	0.3148615669
206	0.3144458055
207	0.3143898365
208	0.3142528349
209	0.3141273482
210	0.3140423273
211	0.3137634116
212	0.3136501299
213	0.313512485
214	0.3133897558
215	0.3131821812
216	0.3129706929
217	0.3127351077
218	0.3125888275
219	0.3124979651
220	0.3122860063
221	0.3121663477
222	0.311861028
223	0.311573625
224	0.3114098154
225	0.3111823948
226	0.3110484607
227	0.3109941545
228	0.310650591
229	0.3104068066
230	0.3101992989
231	0.309898312
232	0.3096025365
233	0.3094721655
234	0.3093320568
235	0.3091820574
236	0.3089949284
237	0.3087744464
238	0.3086179608
239	0.308554195
240	0.308259104
241	0.3080904282
242	0.3078148806
243	0.3075846784
244	0.3075052182
245	0.3074271241
246	0.3069831527
247	0.3066675511
248	0.3063549865
249	0.3061087098
250	0.3058599152
251	0.3057745266
252	0.3055915685
253	0.3053225728
254	0.3049860078
255	0.3046677214
256	0.3046142764
257	0.3044806842
258	0.3043744653
259	0.3040221707
260	0.3039271299
261	0.3036142933
262	0.303252606
263	0.3030417719
264	0.3029115074
265	0.302786256
266	0.3026952623
267	0.3024379762
268	0.3023358673
269	0.3022321427
270	0.3019261914
271	0.3016058521
272	0.3012473107
273	0.3008553501
274	0.300576691
275	0.3002570742
276	0.2998580385
277	0.2997393141
278	0.2994402592
279	0.2993991833
280	0.2993462949
281	0.2990001158
282	0.2987718665
283	0.2984091275
284	0.2980285608
285	0.2979782694
286	0.2976686603
287	0.2972614915
288	0.2971797946
289	0.2970104629
290	0.2968481803
291	0.2966426617
292	0.2964885457
293	0.2961279202
294	0.2960277136
295	0.2959296316
296	0.2956468203
297	0.2955175346
298	0.295376795
299	0.295308237
300	0.295138367
301	0.2949530557
302	0.2948811205
303	0.2946239227
304	0.2942146985
305	0.294118438
306	0.2939336087
307	0.2938002414
308	0.2936128665
309	0.2935119894
310	0.29322306
311	0.2929077205
312	0.2928434497
313	0.2927694108
314	0.2924076498
315	0.2923422314
316	0.2921294359
317	0.2919108758
318	0.2916877673
319	0.2915261211
320	0.2914721675
321	0.2912686683
322	0.291103203
323	0.2910351664
324	0.2909146656
325	0.2906918437
326	0.2904815385
327	0.2901839534
328	0.2899983601
329	0.289888079
330	0.289718015
331	0.2895223016
332	0.2893897417
333	0.289097799
334	0.2888540368
335	0.2886457799
336	0.2884283949
337	0.2883552992
338	0.288158175
339	0.2879198701
340	0.2878090461
341	0.2875647375
342	0.2873799026
343	0.2873193609
344	0.2869220299
345	0.2867077897
346	0.2864793989
347	0.2861128345
348	0.2860503556
349	0.2858435278
350	0.2857873096
351	0.2854755946
352	0.2853861804
353	0.2853385641
354	0.285039512
355	0.2848844805
356	0.2846914142
357	0.2841906881
358	0.2841435141
359	0.2839205207
360	0.2837098847
361	0.2834875737
362	0.2833975303
363	0.2832216233
364	0.2828638641
365	0.2828136743
366	0.2826322051
367	0.2823377619
368	0.2822580337
369	0.2820987662
370	0.282033747
371	0.2818468195
372	0.2811460021
373	0.28096223
374	0.2809108564
375	0.2807193449
376	0.2805051934
377	0.2804032119
378	0.2803599203
379	0.2802762155
380	0.2800696703
381	0.2799096374
382	0.2798288435
383	0.2795811225
384	0.2795399213
385	0.2793690423
386	0.2792212323
387	0.2790441102
388	0.2788798902
389	0.278743882
390	0.2786641365
391	0.2784642421
392	0.2783233138
393	0.2782337007
394	0.2781424084
395	0.2780078216
396	0.2778068942
397	0.2776357064
398	0.277512897
399	0.2774259312
400	0.2772592823
401	0.2770944732
402	0.2768426395
403	0.2765119192
404	0.2764796719
405	0.2763118047
406	0.276167893
407	0.2759311627
408	0.2757352758
409	0.2755655698
410	0.2751602798
411	0.2749281861
412	0.2745826095
413	0.2744800287
414	0.2744374495
415	0.2743906639
416	0.2743267116
417	0.274246522
418	0.274045006
419	0.2738902782
420	0.2737560003
421	0.2736223397
422	0.27355182
423	0.2734123485
424	0.27330891
425	0.2730986553
426	0.2730282809
427	0.2729796734
428	0.2727580409
429	0.2726675331
430	0.2724585763
431	0.2723904237
432	0.2720880663
433	0.2719568182
434	0.2718586581
435	0.2713486507
436	0.2712398914
437	0.2711357018
438	0.2711093082
439	0.2710737423
440	0.2710120986
441	0.2708088544
