iter	Passed	Remaining
206	4151	15902
207	4170	15878
208	4188	15850
209	4206	15822
210	4223	15794
211	4240	15763
212	4258	15733
213	4281	15724
214	4299	15696
215	4316	15668
216	4334	15640
217	4350	15607
218	4372	15591
219	4390	15564
220	4408	15538
221	4425	15508
222	4448	15499
223	4471	15490
224	4494	15481
225	4517	15472
226	4537	15450
227	4549	15404
228	4566	15374
229	4584	15349
230	4602	15320
231	4619	15292
232	4636	15263
233	4653	15233
234	4669	15201
235	4687	15173
236	4705	15150
237	4726	15131
238	4742	15100
239	4760	15076
240	4778	15048
241	4795	15020
242	4813	14994
243	4831	14968
244	4847	14939
245	4865	14913
246	4883	14889
247	4901	14862
248	4920	14839
249	4939	14819
250	4958	14795
251	4975	14767
252	4994	14747
253	5012	14720
254	5031	14700
255	5061	14710
256	5093	14724
257	5116	14715
258	5138	14700
259	5166	14703
260	5193	14704
261	5217	14697
262	5248	14707
263	5281	14725
264	5310	14730
265	5334	14720
266	5362	14722
267	5380	14696
268	5397	14668
269	5415	14641
270	5431	14610
271	5448	14583
272	5465	14555
273	5481	14524
274	5498	14495
275	5515	14469
276	5532	14441
277	5552	14419
278	5572	14399
279	5592	14381
280	5611	14357
281	5627	14328
282	5645	14302
283	5662	14275
284	5680	14251
285	5698	14225
286	5714	14197
287	5732	14172
288	5750	14146
289	5767	14120
290	5787	14101
291	5806	14079
292	5824	14054
293	5841	14028
294	5860	14004
295	5877	13978
296	5894	13951
297	5911	13924
298	5927	13896
299	5945	13872
300	5962	13847
301	5980	13822
302	6000	13802
303	6019	13781
304	6037	13758
305	6055	13733
306	6074	13712
307	6091	13686
308	6109	13661
309	6125	13633
310	6142	13608
311	6158	13581
312	6176	13555
313	6193	13530
314	6209	13503
315	6231	13487
316	6248	13463
317	6265	13437
318	6283	13413
319	6301	13389
320	6317	13363
321	6338	13346
322	6356	13322
323	6374	13299
324	6391	13274
325	6410	13254
326	6429	13232
327	6446	13207
328	6463	13182
329	6482	13161
330	6500	13139
331	6516	13112
332	6534	13088
333	6551	13063
334	6568	13039
335	6588	13020
336	6606	12996
337	6630	12986
338	6648	12963
339	6666	12941
340	6682	12914
341	6700	12890
342	6717	12866
343	6734	12843
344	6751	12818
345	6768	12793
346	6785	12769
347	6803	12747
348	6821	12724
349	6843	12708
350	6861	12686
351	6877	12661
352	6894	12635
353	6910	12611
354	6926	12585
355	6943	12560
356	6961	12539
357	6978	12514
358	6995	12491
359	7011	12465
360	7028	12440
361	7044	12415
362	7064	12396
363	7081	12373
364	7099	12351
365	7119	12332
366	7136	12308
367	7154	12286
368	7171	12263
369	7187	12238
370	7204	12214
371	7221	12191
372	7238	12167
373	7256	12145
374	7276	12126
375	7293	12104
376	7312	12083
377	7329	12060
378	7346	12038
379	7363	12013
380	7380	11990
381	7396	11965
382	7414	11943
383	7431	11921
384	7448	11898
385	7468	11879
386	7487	11860
387	7504	11837
388	7521	11813
389	7539	11792
390	7556	11770
391	7573	11747
392	7590	11723
393	7608	11702
394	7625	11680
395	7645	11661
396	7663	11640
397	7685	11625
398	7705	11606
399	7723	11585
400	7741	11563
401	7758	11541
402	7774	11517
403	7790	11493
404	7808	11471
405	7824	11447
406	7841	11425
407	7859	11403
408	7875	11379
409	7894	11360
410	7913	11340
411	7930	11317
412	7949	11298
413	7967	11277
414	7984	11255
415	8001	11233
416	8018	11210
417	8035	11188
418	8052	11166
419	8069	11143
420	8087	11122
421	8106	11103
422	8126	11085
423	8144	11063
424	8163	11045
425	8182	11025
426	8198	11002
427	8216	10980
428	8233	10959
429	8251	10937
430	8267	10915
431	8285	10893
432	8305	10876
433	8325	10857
434	8344	10837
435	8361	10816
436	8378	10793
437	8395	10772
438	8412	10750
439	8429	10727
440	8445	10704
441	8462	10683
442	8480	10662
443	8497	10640
444	8515	10620
445	8535	10602
446	8554	10582
447	8572	10562
448	8589	10541
449	8606	10518
450	8622	10496
451	8640	10475
452	8657	10453
453	8675	10433
454	8692	10412
455	8712	10393
456	8729	10372
457	8749	10354
458	8769	10336
459	8789	10318
460	8807	10298
461	8826	10278
462	8845	10259
463	8863	10238
464	8881	10218
465	8898	10196
466	8916	10176
467	8935	10157
468	8956	10140
469	8976	10122
470	8996	10104
471	9015	10085
472	9034	10066
473	9054	10047
474	9075	10031
475	9095	10012
476	9115	9994
477	9134	9975
478	9152	9954
479	9173	9937
480	9195	9922
481	9214	9903
482	9232	9882
483	9249	9860
484	9267	9840
485	9289	9824
486	9308	9805
487	9326	9785
488	9343	9764
489	9362	9744
490	9379	9723
491	9398	9704
492	9418	9686
493	9437	9666
494	9454	9645
495	9472	9625
496	9489	9604
497	9506	9582
498	9524	9563
499	9543	9543
500	9562	9524
501	9581	9505
502	9601	9487
503	9619	9467
504	9636	9445
505	9652	9423
506	9672	9405
507	9694	9388
508	9712	9369
509	9733	9351
510	9752	9332
511	9772	9314
512	9795	9299
513	9816	9281
514	9836	9263
515	9857	9245
516	9876	9227
517	9897	9210
518	9919	9193
519	9940	9176
520	9963	9160
521	9982	9141
522	10005	9125
523	10027	9109
524	10048	9091
525	10069	9073
526	10090	9056
527	10111	9038
528	10131	9020
529	10153	9004
530	10174	8986
531	10192	8966
532	10210	8946
533	10231	8928
534	10250	8909
535	10269	8889
536	10288	8870
537	10306	8850
538	10323	8829
539	10341	8809
540	10365	8794
541	10388	8778
542	10414	8765
543	10431	8744
544	10451	8725
545	10472	8708
546	10491	8688
547	10509	8668
548	10527	8648
549	10544	8627
550	10562	8607
551	10582	8588
552	10602	8570
553	10622	8551
554	10641	8532
555	10666	8517
556	10685	8498
557	10703	8478
558	10720	8457
559	10737	8436
560	10755	8416
561	10771	8394
562	10790	8375
563	10810	8356
564	10829	8338
565	10848	8318
566	10867	8298
567	10891	8283
568	10911	8264
569	10929	8244
570	10949	8226
571	10966	8205
572	10986	8186
573	11002	8165
574	11020	8145
575	11037	8124
576	11054	8104
577	11072	8084
578	11091	8064
579	11110	8045
580	11129	8026
581	11147	8006
582	11163	7985
583	11181	7964
584	11201	7946
585	11218	7925
586	11239	7908
587	11260	7889
588	11279	7870
589	11299	7852
590	11323	7836
591	11344	7818
592	11363	7799
593	11383	7780
594	11402	7761
595	11421	7742
596	11441	7723
597	11459	7703
598	11478	7684
599	11499	7666
600	11519	7647
601	11540	7629
602	11558	7609
603	11576	7590
604	11594	7570
605	11612	7549
606	11630	7530
607	11648	7510
608	11664	7489
609	11682	7469
610	11700	7449
611	11716	7428
612	11737	7410
613	11756	7390
614	11773	7370
615	11791	7350
616	11808	7330
617	11826	7310
618	11844	7290
619	11860	7269
620	11879	7250
621	11897	7230
622	11914	7209
623	11932	7190
624	11951	7170
625	11971	7152
626	11989	7132
627	12006	7112
628	12024	7092
629	12042	7072
630	12058	7051
631	12075	7031
632	12093	7011
633	12111	6991
634	12129	6971
635	12146	6951
636	12166	6932
637	12187	6915
638	12205	6895
639	12222	6875
640	12242	6856
641	12259	6836
642	12278	6817
643	12297	6797
644	12314	6777
645	12332	6757
646	12350	6738
647	12367	6718
648	12388	6700
649	12408	6681
650	12426	6661
651	12442	6641
652	12460	6621
653	12478	6601
654	12496	6582
655	12515	6562
656	12532	6542
657	12549	6522
658	12567	6502
659	12588	6484
660	12606	6465
661	12624	6445
662	12642	6425
663	12660	6406
664	12678	6387
665	12696	6367
666	12714	6347
667	12731	6327
668	12747	6307
669	12763	6286
670	12783	6268
671	12802	6248
672	12819	6228
673	12836	6208
674	12853	6188
675	12872	6169
676	12890	6149
677	12907	6130
678	12924	6109
679	12941	6090
680	12959	6070
681	12977	6050
682	12997	6032
683	13017	6013
684	13035	5994
685	13053	5974
686	13071	5955
687	13087	5935
688	13104	5914
689	13121	5895
690	13139	5875
691	13157	5856
692	13174	5836
693	13190	5815
694	13209	5796
695	13233	5780
696	13256	5763
697	13275	5743
698	13293	5724
699	13319	5708
700	13347	5693
701	13381	5680
702	13405	5663
703	13431	5647
704	13458	5631
705	13477	5612
706	13495	5592
707	13512	5572
708	13530	5553
709	13547	5533
710	13563	5513
711	13580	5493
712	13597	5473
713	13615	5453
714	13633	5434
715	13649	5414
716	13669	5395
717	13687	5375
718	13704	5356
719	13722	5336
720	13739	5316
721	13756	5296
722	13773	5276
723	13790	5257
724	13809	5238
725	13827	5218
726	13846	5199
727	13864	5180
728	13885	5162
729	13903	5142
730	13921	5122
731	13938	5103
732	13956	5083
733	13972	5063
734	13989	5043
735	14005	5023
736	14023	5004
737	14046	4986
738	14079	4972
739	14112	4958
740	14138	4941
741	14169	4926
742	14191	4908
743	14215	4891
744	14232	4871
745	14251	4852
746	14269	4833
747	14288	4813
748	14305	4793
749	14324	4774
750	14343	4755
751	14360	4735
752	14377	4716
753	14393	4695
754	14410	4676
755	14427	4656
756	14445	4637
757	14462	4617
758	14479	4597
759	14496	4577
760	14513	4558
761	14532	4538
762	14551	4519
763	14568	4500
764	14585	4480
765	14602	4460
766	14620	4441
767	14638	4421
768	14656	4402
769	14672	4382
770	14690	4363
771	14705	4343
772	14723	4323
773	14744	4305
774	14762	4285
775	14788	4268
776	14818	4252
777	14849	4237
778	14874	4219
779	14900	4202
780	14925	4185
781	14946	4166
782	14965	4147
783	14983	4128
784	14999	4108
785	15016	4088
786	15036	4069
787	15054	4050
788	15070	4030
789	15087	4010
790	15105	3991
791	15122	3971
792	15139	3952
793	15161	3933
794	15183	3915
795	15203	3896
796	15221	3876
797	15238	3857
798	15255	3837
799	15278	3819
800	15301	3801
801	15323	3783
802	15343	3764
803	15360	3744
804	15381	3725
805	15399	3706
806	15417	3687
807	15435	3667
808	15452	3648
809	15469	3628
810	15485	3608
811	15502	3589
812	15519	3569
813	15537	3550
814	15554	3530
815	15572	3511
816	15591	3492
817	15609	3473
818	15625	3453
819	15643	3433
820	15660	3414
821	15676	3394
822	15692	3374
823	15709	3355
824	15726	3335
825	15744	3316
826	15761	3297
827	15779	3277
828	15800	3259
829	15820	3240
830	15836	3220
831	15853	3201
832	15870	3181
833	15887	3162
834	15904	3142
835	15921	3123
836	15938	3103
837	15955	3084
838	15972	3065
839	15991	3045
840	16010	3027
841	16029	3007
842	16045	2988
843	16062	2968
844	16079	2949
845	16096	2930
846	16113	2910
847	16131	2891
848	16148	2872
849	16165	2852
850	16184	2833
851	16202	2814
852	16223	2795
853	16242	2776
854	16260	2757
855	16277	2738
856	16294	2718
857	16311	2699
858	16327	2680
859	16343	2660
860	16360	2641
861	16378	2622
862	16395	2602
863	16414	2583
864	16433	2564
865	16454	2546
866	16470	2526
867	16487	2507
868	16505	2488
869	16522	2468
870	16539	2449
871	16555	2430
872	16573	2410
873	16590	2391
874	16606	2372
875	16623	2353
876	16641	2333
877	16661	2315
878	16679	2295
879	16696	2276
880	16714	2257
881	16729	2238
882	16747	2219
883	16764	2199
884	16781	2180
885	16798	2161
886	16816	2142
887	16832	2123
888	16851	2104
889	16869	2084
890	16887	2065
891	16904	2046
892	16922	2027
893	16938	2008
894	16956	1989
895	16972	1969
896	16989	1950
897	17005	1931
898	17022	1912
899	17039	1893
900	17056	1874
901	17078	1855
902	17095	1836
903	17113	1817
904	17130	1798
905	17147	1779
906	17166	1760
907	17184	1741
908	17201	1722
909	17217	1702
910	17235	1683
911	17251	1664
912	17267	1645
913	17286	1626
914	17305	1607
915	17322	1588
916	17339	1569
917	17356	1550
918	17372	1531
919	17389	1512
920	17406	1493
921	17423	1474
922	17440	1454
923	17456	1435
924	17473	1416
925	17491	1397
926	17510	1378
927	17526	1359
928	17543	1340
929	17560	1321
930	17577	1302
931	17594	1283
932	17610	1264
933	17627	1245
934	17644	1226
935	17662	1207
936	17679	1188
937	17698	1169
938	17718	1151
939	17736	1132
940	17754	1113
941	17770	1094
942	17787	1075
943	17805	1056
944	17821	1037
945	17838	1018
946	17855	999
947	17871	980
948	17888	961
949	17907	942
950	17925	923
951	17944	904
952	17962	885
953	17979	866
954	17997	848
955	18014	829
956	18032	810
957	18048	791
958	18065	772
959	18082	753
960	18099	734
961	18117	715
962	18137	696
963	18159	678
964	18176	659
965	18194	640
966	18210	621
967	18230	602
968	18247	583
969	18264	564
970	18280	545
971	18297	527
972	18313	508
973	18330	489
974	18349	470
975	18369	451
976	18387	432
977	18404	413
978	18421	395
979	18437	376
980	18453	357
981	18470	338
982	18486	319
983	18502	300
984	18520	282
985	18536	263
986	18555	244
987	18575	225
988	18593	206
989	18611	187
990	18628	169
991	18645	150
992	18661	131
993	18678	112
994	18695	93
995	18711	75
996	18727	56
997	18743	37
998	18765	18
999	18786	0
