,actividad,is_apellido1,is_apellido2,is_celular,is_direccion,is_fnac,is_nombre,is_nombrecompleto,is_nrofam,is_presencial,is_profesion,is_recontacto,is_remoto,is_telefono,loc_comuna,loc_provincia,loc_region,medio_inicial,sexo
1239,independiente (no profesional),True,True,True,False,True,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1240,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,chiguayante,concepcion,bio-bio,recorrido por el sector,masculino
1241,profesional,True,True,True,False,True,True,True,False,False,True,False,False,False,otro,otro,otro,recorrido por el sector,masculino
1243,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1244,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,masculino
1245,independiente (no profesional),True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1246,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,talcahuano,concepcion,bio-bio,recorrido por el sector,masculino
1248,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,otro,otro,otro,recorrido por el sector,masculino
1250,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,nunoa,santiago,metropolitana,internet,femenino
1251,independiente (no profesional),True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recontacto,femenino
1252,profesional,True,True,True,True,True,True,True,False,False,True,False,False,False,otro,otro,otro,recorrido por el sector,masculino
1253,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,providencia,santiago,metropolitana,internet,femenino
1254,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,otro,otro,otro,recorrido por el sector,masculino
1256,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1257,profesional,True,True,True,True,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1259,empleado,True,True,True,False,False,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,recontacto,masculino
1260,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,masculino
1261,empleado,True,True,True,True,True,True,True,True,False,True,False,False,True,concepcion,concepcion,bio-bio,referidos,masculino
1262,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,hualpen,concepcion,bio-bio,recorrido por el sector,masculino
